[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-22 14:06:08.089860 | pp4rosie#2007 | jek spam <@!324200266771595276>
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:02:23.872326 | pp4rosie#2007 | jek play bad habits
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:12:13.160037 | pp4rosie#2007 | jek play https://youtu.be/CT8xMunS608
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:19:28.865210 | pp4rosie#2007 | jek play https://youtu.be/ZXpWHghCiWM
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:25:08.983692 | pp4rosie#2007 | jek play el canto del barca
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:26:04.999125 | pp4rosie#2007 | jek play https://youtu.be/IxHMYSp7dus
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:26:09.955364 | pp4rosie#2007 | jek skip
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:28:39.884606 | pp4rosie#2007 | jek play el canto de atletico de madrid
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:28:45.054082 | pp4rosie#2007 | jek skip
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:30:17.949459 | pp4rosie#2007 | jek play jetzt kommt der bvb
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:31:00.888591 | pp4rosie#2007 | jek play miansanmia bayern
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:31:08.091175 | pp4rosie#2007 | jek skip
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:33:05.447145 | pp4rosie#2007 | jek skip
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:34:11.500418 | pp4rosie#2007 | jek skip
[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-30 19:34:32.815005 | pp4rosie#2007 | jek play stern des sudens
