
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-09 12:29:59.992242 | นกมะเขือเทศ#0754 | jek amougus
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-09 12:30:22.896259 | นกมะเขือเทศ#0754 | jek help
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-09 12:30:58.051702 | นกมะเขือเทศ#0754 | jek gartic
[command] Kanoon’s Best Amigos | 2021-10-09 14:05:26.741548 | pleumpwr#4479 | jek spam <@!381738460295200769>
[command] Kanoon’s Best Amigos | 2021-10-09 14:12:05.283169 | pleumpwr#4479 | jek spam <@!539721677970472970>
[command] Kanoon’s Best Amigos | 2021-10-09 14:12:22.897169 | pp4rosie#2007 | jek play https://youtu.be/KdZoh2QdWIQ
[command] Kanoon’s Best Amigos | 2021-10-09 14:12:25.348674 | pleumpwr#4479 | jek spam <@!687663805617930251>
[command] Kanoon’s Best Amigos | 2021-10-09 14:12:46.260320 | pleumpwr#4479 | jek spam <@!585609685651161098>
[command] Kanoon’s Best Amigos | 2021-10-09 14:15:13.691678 | pp4rosie#2007 | jek skip
[command] Kanoon’s Best Amigos | 2021-10-09 14:15:28.314958 | pp4rosie#2007 | jek play https://youtu.be/GcTAQcI4pY8
[command] Kanoon’s Best Amigos | 2021-10-09 14:21:08.843459 | pp4rosie#2007 | jek play https://youtu.be/DjY0XL8g7_o
[command] Kanoon’s Best Amigos | 2021-10-09 14:22:19.815839 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=AlSQbr9MCCo
[command] Kanoon’s Best Amigos | 2021-10-09 14:24:45.762710 | pp4rosie#2007 | jek skip
[command] Kanoon’s Best Amigos | 2021-10-09 14:24:49.083889 | pp4rosie#2007 | jek play https://youtu.be/KDk00x6cjuU
[command] Kanoon’s Best Amigos | 2021-10-09 14:28:08.314569 | pp4rosie#2007 | jek skip
[command] Kanoon’s Best Amigos | 2021-10-09 14:28:13.699357 | pp4rosie#2007 | jek play la marseillaise
[command] Kanoon’s Best Amigos | 2021-10-09 14:31:59.041821 | Tree#8650 | jek play https://www.youtube.com/watch?v=T725nvFi3i0
[command] Kanoon’s Best Amigos | 2021-10-09 14:40:29.065590 | Tree#8650 | jek play https://www.youtube.com/watch?v=T725nvFi3i0
[command] GLHFGGEZ | 2021-10-09 16:33:31.930117 | แว่นแดง#5640 | jek help
[command] GLHFGGEZ | 2021-10-09 16:33:53.031186 | แว่นแดง#5640 | jek gartic
[command] GLHFGGEZ | 2021-10-09 17:52:16.634848 | เพื่อนมึงไง#5065 | jek clean
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-11 05:08:44.168288 | gdxsymon#3453 | jek play https://www.youtube.com/watch?v=NRJqH048sGw
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-11 11:10:15.247186 | แว่นแดง#5640 | jek help
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-11 14:32:43.052455 | pp4rosie#2007 | jek what
[command] Kanoon’s Best Amigos | 2021-10-11 15:32:15.003053 | ....#6809 | jek play https://www.youtube.com/watch?v=HfH8n0_T0_Y&list=RDHfH8n0_T0_Y&index=1
[command] Kanoon’s Best Amigos | 2021-10-11 15:38:29.985203 | ....#6809 | jek play https://www.youtube.com/watch?v=LtPmR7MmrLw&list=RDHfH8n0_T0_Y&index=5
[command] Kanoon’s Best Amigos | 2021-10-11 15:41:33.335288 | ....#6809 | jek play https://www.youtube.com/watch?v=XHssIVcLeio
[command] Kanoon’s Best Amigos | 2021-10-11 15:47:02.960754 | ....#6809 | jek play https://www.youtube.com/watch?v=MzdQfQVOITo
[command] Kanoon’s Best Amigos | 2021-10-11 15:50:00.862214 | zearthz#2243 | jek play https://youtu.be/DNdBLpzcDug
[command] Kanoon’s Best Amigos | 2021-10-11 15:52:04.906595 | zearthz#2243 | jek play https://youtu.be/wZ_BBVf60m0
[command] Kanoon’s Best Amigos | 2021-10-11 15:54:48.775664 | zearthz#2243 | jek play https://youtu.be/fXc0KQqhThU
[command] Kanoon’s Best Amigos | 2021-10-11 15:55:32.873571 | ....#6809 | jek play https://www.youtube.com/watch?v=Y3AEEjHA8a4
[command] Kanoon’s Best Amigos | 2021-10-11 15:59:19.348646 | zearthz#2243 | jek play https://youtu.be/OjiuD6jWwIw
[command] Kanoon’s Best Amigos | 2021-10-11 16:00:02.829361 | zearthz#2243 | jek play https://youtu.be/ZKhVYi0EwnI
[command] Kanoon’s Best Amigos | 2021-10-11 16:00:56.978347 | ....#6809 | jek play https://www.youtube.com/watch?v=8rMGIqCIjkc
[command] Kanoon’s Best Amigos | 2021-10-11 16:02:29.053423 | zearthz#2243 | jek play https://youtu.be/05PjSue3QNQ
[command] Kanoon’s Best Amigos | 2021-10-11 16:04:37.286182 | zearthz#2243 | jek play https://youtu.be/XUQ5ZcD65FI
[command] Kanoon’s Best Amigos | 2021-10-11 16:29:58.506426 | zearthz#2243 | jek play https://youtu.be/fZpiXouzA_o
[command] Kanoon’s Best Amigos | 2021-10-11 16:31:33.750859 | zearthz#2243 | jek play https://youtu.be/JqPul6Qp2qM
[command] Kanoon’s Best Amigos | 2021-10-11 16:44:59.348176 | ....#6809 | jek play https://www.youtube.com/watch?v=aHdtoDZlUKA
[command] Kanoon’s Best Amigos | 2021-10-11 16:46:45.997112 | zearthz#2243 | jek play https://youtu.be/vCULlNUGCFE
[command] Kanoon’s Best Amigos | 2021-10-11 16:51:09.950639 | zearthz#2243 | jek play https://youtu.be/XU_WvSDvWes
[command] Kanoon’s Best Amigos | 2021-10-11 17:17:31.626569 | zearthz#2243 | jek play https://youtu.be/xHa6a3FtPJg
[command] Kanoon’s Best Amigos | 2021-10-11 17:18:28.548525 | zearthz#2243 | jek play https://youtu.be/zc6KUlXP--M
[command] Kanoon’s Best Amigos | 2021-10-11 17:24:17.527833 | zearthz#2243 | jek play https://youtu.be/71Gt46aX9Z4
[command] Kanoon’s Best Amigos | 2021-10-11 17:25:05.693714 | zearthz#2243 | jek play https://youtu.be/5lrSdW8p4u4
[command] Kanoon’s Best Amigos | 2021-10-11 17:32:24.952498 | zearthz#2243 | jek play https://youtu.be/4-u2y29Ivq0
[command] Kanoon’s Best Amigos | 2021-10-11 17:32:49.579350 | lordstone#8830 | jek play https://youtu.be/3FygIKsnkCw
[command] Kanoon’s Best Amigos | 2021-10-11 17:50:40.811069 | pp4rosie#2007 | jek play https://youtu.be/0YbaoO3MYoc
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-12 12:04:51.557878 | QGIS#6129 | jek what
