
[command] Kanoon’s Best Amigos | 2021-10-15 14:24:01.532120 | pp4rosie#2007 | jek play 每当变幻时 熏尼
[command] Kanoon’s Best Amigos | 2021-10-15 14:41:13.072195 | pleumpwr#4479 | jek play ทรงเอ Younggu
[command] Kanoon’s Best Amigos | 2021-10-15 14:47:35.446221 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=RtPb4NMkT-s
[command] Kanoon’s Best Amigos | 2021-10-15 14:47:42.246451 | pp4rosie#2007 | jek loop
[command] Kanoon’s Best Amigos | 2021-10-15 14:48:26.057455 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=26a3UH9Rl0U
[command] Kanoon’s Best Amigos | 2021-10-15 14:48:41.652832 | pp4rosie#2007 | jek play uefa cl anthem 1 hour
[command] Kanoon’s Best Amigos | 2021-10-15 14:48:41.687211 | zearthz#2243 | jek play https://youtu.be/iY5snyt1GP4
[command] Kanoon’s Best Amigos | 2021-10-15 14:52:44.165103 | pp4rosie#2007 | jek play herman's hermits i'll never dance again
[command] Kanoon’s Best Amigos | 2021-10-15 14:54:04.506317 | zearthz#2243 | jek play https://youtu.be/W7l4ERpoVEQ
[command] Kanoon’s Best Amigos | 2021-10-15 14:56:14.463627 | pp4rosie#2007 | jek play mr postman beatles
[command] Kanoon’s Best Amigos | 2021-10-15 14:56:32.410932 | zearthz#2243 | jek play https://youtu.be/Pfs8hGiRTxA
[command] Kanoon’s Best Amigos | 2021-10-15 14:56:41.457586 | pleumpwr#4479 | jek play asian cup anthem
[command] Kanoon’s Best Amigos | 2021-10-15 14:57:30.736090 | pleumpwr#4479 | jek play dear friend queen
[command] Kanoon’s Best Amigos | 2021-10-15 15:01:38.128567 | pp4rosie#2007 | jek play sentimental friends
[command] Kanoon’s Best Amigos | 2021-10-15 15:13:40.724212 | pp4rosie#2007 | jek play https://youtu.be/P6OXvHG_lO4
[command] Kanoon’s Best Amigos | 2021-10-15 15:18:34.402163 | pp4rosie#2007 | jek play vibing music
[command] Kanoon’s Best Amigos | 2021-10-15 15:20:49.412938 | zearthz#2243 | jek play https://youtu.be/00Ofa_-yK8k
[command] Kanoon’s Best Amigos | 2021-10-15 15:31:11.476362 | pp4rosie#2007 | jek play idol
[command] Kanoon’s Best Amigos | 2021-10-15 15:32:08.741691 | pp4rosie#2007 | jek play https://youtu.be/P6OXvHG_lO4
[command] Kanoon’s Best Amigos | 2021-10-15 15:32:19.529203 | pp4rosie#2007 | jek play idol
[command] Kanoon’s Best Amigos | 2021-10-15 15:32:26.383181 | pp4rosie#2007 | jek join
[command] Kanoon’s Best Amigos | 2021-10-15 15:32:37.138584 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-15 15:32:43.760930 | pp4rosie#2007 | jek play idol
[command] Kanoon’s Best Amigos | 2021-10-15 15:33:04.760706 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-15 15:33:07.691440 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-15 15:33:12.464924 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-15 15:33:16.898248 | pp4rosie#2007 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:33:27.332457 | pp4rosie#2007 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:33:34.993856 | pp4rosie#2007 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:33:42.836888 | pp4rosie#2007 | jek alarm
[command] Kanoon’s Best Amigos | 2021-10-15 15:33:56.853242 | pp4rosie#2007 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:34:02.013206 | pleumpwr#4479 | jek wow
[command] Kanoon’s Best Amigos | 2021-10-15 15:34:11.904024 | pp4rosie#2007 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:34:19.885975 | pleumpwr#4479 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:34:31.749799 | pp4rosie#2007 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:35:07.386833 | pleumpwr#4479 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:35:14.220325 | pp4rosie#2007 | jek ว้าว
[command] Kanoon’s Best Amigos | 2021-10-15 15:36:13.220153 | pp4rosie#2007 | jek play ดุจดังสายฟ้า
[command] Kanoon’s Best Amigos | 2021-10-15 15:41:58.303238 | pleumpwr#4479 | jek play เฉยเมย
[command] Kanoon’s Best Amigos | 2021-10-15 15:46:06.820731 | pp4rosie#2007 | jek play gusttavo lima balada
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 15:49:56.831442 | pp4rosie#2007 | jek alarm
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 15:50:20.603364 | QGIS#6129 | jek play CUCO - Lover is a Day
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 15:50:34.480427 | pp4rosie#2007 | jek help
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 16:07:53.817914 | pp4rosie#2007 | jek play love yourself
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 16:08:09.091728 | pp4rosie#2007 | jek refresh
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 16:08:16.492897 | pp4rosie#2007 | jek play love yourself
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 16:57:05.597148 | pp4rosie#2007 | jek play what lovers do
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 17:00:38.871535 | pp4rosie#2007 | jek play ธารารัตน์
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 17:00:53.296420 | pp4rosie#2007 | jek play มาเฟียสเปน
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 18:37:03.748077 | pp4rosie#2007 | jek play heavy linkin park
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 18:40:15.258775 | pp4rosie#2007 | jek play talking to myself linkin park
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-15 18:41:24.490249 | pp4rosie#2007 | jek play one more light
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 06:45:06.621705 | pp4rosie#2007 | jek what | 陪你去看流星雨落在这地球上
让你的泪落在我肩膀
要你相信我的爱只肯为你勇敢
你会看见幸福的所在
[command] Kanoon’s Best Amigos | 2021-10-16 13:19:44.252763 | zearthz#2243 | jek play https://youtu.be/36LqkNwBLf0
[command] Kanoon’s Best Amigos | 2021-10-16 14:04:14.670087 | zearthz#2243 | jek play https://youtu.be/vgxPafRApsU
[command] Kanoon’s Best Amigos | 2021-10-16 14:10:08.982977 | pleumpwr#4479 | jek spam <@!292654278223331329>
[command] Kanoon’s Best Amigos | 2021-10-16 14:16:33.923296 | zearthz#2243 | jek play https://youtu.be/eXjek95wELw
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 14:27:55.254867 | แว่นแดง#5640 | jek play https://www.youtube.com/watch?v=Yc-7IQqcqeM
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 14:28:10.675714 | pp4rosie#2007 | jek play รักกันไว้เถิด กรมประชาสัมพันธ์
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 14:56:58.489924 | pp4rosie#2007 | jek play ole jetzt kommt der bvb
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 15:01:06.840650 | pp4rosie#2007 | jek play allez paris saint germain
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 15:07:35.065509 | pp4rosie#2007 | jek play tot el camp
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 15:09:43.489183 | pp4rosie#2007 | jek play you'll never walk alone french version
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 15:10:02.236088 | pp4rosie#2007 | jek skip
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 15:10:10.797267 | pp4rosie#2007 | jek skip
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 15:10:41.304721 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=Nf6UCfL_xCc
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-16 15:14:48.442182 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=FJp4Q2zhDAI
