
[command] Kanoon’s Best Amigos | 2021-10-28 13:12:28.736071 | pleumpwr#4479 | jek wallet
[command] Kanoon’s Best Amigos | 2021-10-28 13:12:38.536266 | pleumpwr#4479 | jek claim
[command] Kanoon’s Best Amigos | 2021-10-28 13:12:47.943252 | pleumpwr#4479 | jek bet
[command] Kanoon’s Best Amigos | 2021-10-28 13:13:01.778875 | pleumpwr#4479 | jek bet amount 200
[command] Kanoon’s Best Amigos | 2021-10-28 13:13:23.928710 | pleumpwr#4479 | jek bet Atletico Madrid amount 200
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 13:33:38.950024 | QGIS#6129 | Jek what | Eu realmente quero comer o teu cão. <:MAGAPEPE:440978929784979459>
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 13:45:57.566603 | QGIS#6129 | Jek what is this mtfk | Pouvez-vous m'expliquer plus de ça, s'il vous plaît?
[command] Kanoon’s Best Amigos | 2021-10-28 13:52:12.307680 | pleumpwr#4479 | jek play bohemian rhapsody deutsch
[command] Kanoon’s Best Amigos | 2021-10-28 14:01:41.300785 | pp4rosie#2007 | jek play tout doucement
[command] Kanoon’s Best Amigos | 2021-10-28 14:05:11.287657 | pp4rosie#2007 | jek play ramenez la coupe a la maison
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 14:05:16.889212 | QGIS#6129 | jek spam <@!327098608577150976>
[command] Kanoon’s Best Amigos | 2021-10-28 14:05:48.800406 | pleumpwr#4479 | jek play Zinedine Zidane
[command] Kanoon’s Best Amigos | 2021-10-28 14:06:20.353145 | pleumpwr#4479 | jek play https://youtu.be/nrOLGifnMJk
[command] Kanoon’s Best Amigos | 2021-10-28 14:09:50.419896 | pp4rosie#2007 | jek play les champs elysees
[command] Kanoon’s Best Amigos | 2021-10-28 14:09:55.998365 | pleumpwr#4479 | jek play https://youtu.be/csA3Ie-VIbs
[command] Kanoon’s Best Amigos | 2021-10-28 14:13:52.393140 | ....#6809 | jek play https://www.youtube.com/watch?v=PHca8P5oxK8
[command] Kanoon’s Best Amigos | 2021-10-28 14:18:39.844921 | pp4rosie#2007 | jek play roja baila
[command] Kanoon’s Best Amigos | 2021-10-28 14:19:44.966898 | pleumpwr#4479 | jek play senorita kay one
[command] Kanoon’s Best Amigos | 2021-10-28 14:24:16.291738 | pp4rosie#2007 | jek play https://youtu.be/Qow_XNBCdl0
[command] Kanoon’s Best Amigos | 2021-10-28 15:02:34.708651 | pp4rosie#2007 | jek dhoom machale
[command] Kanoon’s Best Amigos | 2021-10-28 15:02:42.195106 | pp4rosie#2007 | jek play dhoom machale
[command] Kanoon’s Best Amigos | 2021-10-28 15:31:02.872683 | zearthz#2243 | jek play https://youtu.be/11FW-sf7hbc
[command] Kanoon’s Best Amigos | 2021-10-28 15:36:53.285846 | zearthz#2243 | jek play https://youtu.be/EPZfaGPP3cA
[command] Kanoon’s Best Amigos | 2021-10-28 15:44:42.033215 | pp4rosie#2007 | jek play นี่ไม่ใช่ไทลินอล
[command] Kanoon’s Best Amigos | 2021-10-28 15:44:58.431396 | pp4rosie#2007 | jek leave
[command] Kanoon’s Best Amigos | 2021-10-28 15:45:00.636262 | pp4rosie#2007 | jek join
[command] Kanoon’s Best Amigos | 2021-10-28 15:45:32.984919 | pp4rosie#2007 | jek play โฆษณาไทลินอล
[command] Kanoon’s Best Amigos | 2021-10-28 15:47:28.320762 | pp4rosie#2007 | jek play les champs elysees joe dassin
[command] Kanoon’s Best Amigos | 2021-10-28 15:49:25.599890 | zearthz#2243 | jek play https://youtu.be/BxpuMAxa4T0
[command] Kanoon’s Best Amigos | 2021-10-28 15:59:19.531071 | zearthz#2243 | jek play https://youtu.be/uozAhIkHWhI
[command] Kanoon’s Best Amigos | 2021-10-28 16:01:25.275098 | zearthz#2243 | jek play https://youtu.be/VtUS__tF2EA
[command] Kanoon’s Best Amigos | 2021-10-28 16:51:37.879764 | zearthz#2243 | jek play https://youtu.be/gdZLi9oWNZg
[command] Kanoon’s Best Amigos | 2021-10-28 17:01:01.633818 | zearthz#2243 | jek play https://youtu.be/f5_wn8mexmM
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:04:20.114913 | QGIS#6129 | JEK MATCH
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:04:28.533450 | QGIS#6129 | jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:05:18.830175 | QGIS#6129 | jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:05:31.259784 | QGIS#6129 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:05:38.286895 | QGIS#6129 | jek bet
